country_id;country;period; BANKING CRISIS (AT LEAST ONE);CURRENCY CRISIS (AT LEAST ONE);DEBT CRISIS (AT LEAST ONE);; BANKING CRISIS (AT LEAST TWO);CURRENCY CRISIS (AT LEAST TWO);DEBT CRISIS (AT LEAST TWO)
3;Belgium;1985Q3;0;0;0;;0;0;0
3;Belgium;1985Q4;0;0;0;;0;0;0
3;Belgium;1986Q1;0;0;0;;0;0;0
3;Belgium;1986Q2;0;0;0;;0;0;0
3;Belgium;1986Q3;0;0;0;;0;0;0
3;Belgium;1986Q4;0;0;0;;0;0;0
3;Belgium;1987Q1;0;0;0;;0;0;0
3;Belgium;1987Q2;0;0;0;;0;0;0
3;Belgium;1987Q3;0;0;0;;0;0;0
3;Belgium;1987Q4;0;0;0;;0;0;0
3;Belgium;1988Q1;0;0;0;;0;0;0
3;Belgium;1988Q2;0;0;0;;0;0;0
3;Belgium;1988Q3;0;0;0;;0;0;0
3;Belgium;1988Q4;0;0;0;;0;0;0
3;Belgium;1989Q1;0;0;0;;0;0;0
3;Belgium;1989Q2;0;0;0;;0;0;0
3;Belgium;1989Q3;0;0;0;;0;0;0
3;Belgium;1989Q4;0;0;0;;0;0;0
3;Belgium;1990Q1;0;0;0;;0;0;0
3;Belgium;1990Q2;0;0;0;;0;0;0
3;Belgium;1990Q3;0;0;0;;0;0;0
3;Belgium;1990Q4;0;0;0;;0;0;0
3;Belgium;1991Q1;0;0;0;;0;0;0
3;Belgium;1991Q2;0;0;0;;0;0;0
3;Belgium;1991Q3;0;0;0;;0;0;0
3;Belgium;1991Q4;0;0;0;;0;0;0
3;Belgium;1992Q1;0;0;0;;0;0;0
3;Belgium;1992Q2;0;0;0;;0;0;0
3;Belgium;1992Q3;0;0;0;;0;0;0
3;Belgium;1992Q4;0;0;0;;0;0;0
3;Belgium;1993Q1;0;0;0;;0;0;0
3;Belgium;1993Q2;0;0;0;;0;0;0
3;Belgium;1993Q3;0;1;0;;0;0;0
3;Belgium;1993Q4;0;0;0;;0;0;0
3;Belgium;1994Q1;0;0;0;;0;0;0
3;Belgium;1994Q2;0;0;0;;0;0;0
3;Belgium;1994Q3;0;0;0;;0;0;0
3;Belgium;1994Q4;0;0;0;;0;0;0
3;Belgium;1995Q1;0;0;0;;0;0;0
3;Belgium;1995Q2;0;0;0;;0;0;0
3;Belgium;1995Q3;0;0;0;;0;0;0
3;Belgium;1995Q4;0;0;0;;0;0;0
3;Belgium;1996Q1;0;0;0;;0;0;0
3;Belgium;1996Q2;0;0;0;;0;0;0
3;Belgium;1996Q3;0;0;0;;0;0;0
3;Belgium;1996Q4;0;0;0;;0;0;0
3;Belgium;1997Q1;0;0;0;;0;0;0
3;Belgium;1997Q2;0;0;0;;0;0;0
3;Belgium;1997Q3;0;0;0;;0;0;0
3;Belgium;1997Q4;0;0;0;;0;0;0
3;Belgium;1998Q1;0;0;0;;0;0;0
3;Belgium;1998Q2;0;0;0;;0;0;0
3;Belgium;1998Q3;0;0;0;;0;0;0
3;Belgium;1998Q4;0;0;0;;0;0;0
3;Belgium;1999Q1;0;0;0;;0;0;0
3;Belgium;1999Q2;0;0;0;;0;0;0
3;Belgium;1999Q3;0;0;0;;0;0;0
3;Belgium;1999Q4;0;0;0;;0;0;0
3;Belgium;2000Q1;0;0;0;;0;0;0
3;Belgium;2000Q2;0;0;0;;0;0;0
3;Belgium;2000Q3;0;0;0;;0;0;0
3;Belgium;2000Q4;0;0;0;;0;0;0
3;Belgium;2001Q1;0;0;0;;0;0;0
3;Belgium;2001Q2;0;0;0;;0;0;0
3;Belgium;2001Q3;0;0;0;;0;0;0
3;Belgium;2001Q4;0;0;0;;0;0;0
3;Belgium;2002Q1;0;0;0;;0;0;0
3;Belgium;2002Q2;0;0;0;;0;0;0
3;Belgium;2002Q3;0;0;0;;0;0;0
3;Belgium;2002Q4;0;0;0;;0;0;0
3;Belgium;2003Q1;0;0;0;;0;0;0
3;Belgium;2003Q2;0;0;0;;0;0;0
3;Belgium;2003Q3;0;0;0;;0;0;0
3;Belgium;2003Q4;0;0;0;;0;0;0
3;Belgium;2004Q1;0;0;0;;0;0;0
3;Belgium;2004Q2;0;0;0;;0;0;0
3;Belgium;2004Q3;0;0;0;;0;0;0
3;Belgium;2004Q4;0;0;0;;0;0;0
3;Belgium;2005Q1;0;0;0;;0;0;0
3;Belgium;2005Q2;0;0;0;;0;0;0
3;Belgium;2005Q3;0;0;0;;0;0;0
3;Belgium;2005Q4;0;0;0;;0;0;0
3;Belgium;2006Q1;0;0;0;;0;0;0
3;Belgium;2006Q2;0;0;0;;0;0;0
3;Belgium;2006Q3;0;0;0;;0;0;0
3;Belgium;2006Q4;0;0;0;;0;0;0
3;Belgium;2007Q1;0;0;0;;0;0;0
3;Belgium;2007Q2;0;0;0;;0;0;0
3;Belgium;2007Q3;0;0;0;;0;0;0
3;Belgium;2007Q4;0;0;0;;0;0;0
3;Belgium;2008Q1;1;0;0;;1;0;0
3;Belgium;2008Q2;1;0;0;;1;0;0
3;Belgium;2008Q3;1;0;0;;1;0;0
3;Belgium;2008Q4;1;0;0;;1;0;0
3;Belgium;2009Q1;0;0;0;;0;0;0
3;Belgium;2009Q2;0;0;0;;0;0;0
3;Belgium;2009Q3;0;0;0;;0;0;0
3;Belgium;2009Q4;0;0;0;;0;0;0
3;Belgium;2010Q1;0;0;0;;0;0;0
3;Belgium;2010Q2;0;0;0;;0;0;0
3;Belgium;2010Q3;0;0;0;;0;0;0
3;Belgium;2010Q4;0;0;0;;0;0;0
4;Bulgaria;1970Q1;0;0;0;;0;0;0
4;Bulgaria;1970Q2;0;0;0;;0;0;0
4;Bulgaria;1970Q3;0;0;0;;0;0;0
4;Bulgaria;1970Q4;0;0;0;;0;0;0
4;Bulgaria;1971Q1;1;1;0;;0;0;0
4;Bulgaria;1971Q2;1;1;0;;0;0;0
4;Bulgaria;1971Q3;0;1;0;;0;0;0
4;Bulgaria;1971Q4;0;1;0;;0;0;0
4;Bulgaria;1972Q1;0;0;0;;0;0;0
4;Bulgaria;1972Q2;0;0;0;;0;0;0
4;Bulgaria;1972Q3;0;0;0;;0;0;0
4;Bulgaria;1972Q4;0;0;0;;0;0;0
4;Bulgaria;1973Q1;0;0;0;;0;0;0
4;Bulgaria;1973Q2;0;0;0;;0;0;0
4;Bulgaria;1973Q3;0;0;0;;0;0;0
4;Bulgaria;1973Q4;0;0;0;;0;0;0
4;Bulgaria;1974Q1;0;0;0;;0;0;0
4;Bulgaria;1974Q2;0;0;0;;0;0;0
4;Bulgaria;1974Q3;0;0;0;;0;0;0
4;Bulgaria;1974Q4;0;0;0;;0;0;0
4;Bulgaria;1975Q1;0;0;0;;0;0;0
4;Bulgaria;1975Q2;0;0;0;;0;0;0
4;Bulgaria;1975Q3;0;0;0;;0;0;0
4;Bulgaria;1975Q4;0;0;0;;0;0;0
4;Bulgaria;1976Q1;0;0;0;;0;0;0
4;Bulgaria;1976Q2;0;0;0;;0;0;0
4;Bulgaria;1976Q3;0;0;0;;0;0;0
4;Bulgaria;1976Q4;0;0;0;;0;0;0
4;Bulgaria;1977Q1;0;0;0;;0;0;0
4;Bulgaria;1977Q2;0;0;0;;0;0;0
4;Bulgaria;1977Q3;0;0;0;;0;0;0
4;Bulgaria;1977Q4;0;0;0;;0;0;0
4;Bulgaria;1978Q1;0;0;0;;0;0;0
4;Bulgaria;1978Q2;0;0;0;;0;0;0
4;Bulgaria;1978Q3;0;0;0;;0;0;0
4;Bulgaria;1978Q4;0;0;0;;0;0;0
4;Bulgaria;1979Q1;0;0;0;;0;0;0
4;Bulgaria;1979Q2;0;0;0;;0;0;0
4;Bulgaria;1979Q3;0;0;0;;0;0;0
4;Bulgaria;1979Q4;0;0;0;;0;0;0
