BCAXF_BP6_USD,FIGB_PA,credit_government,credit_private,debt_service,House_prices,gdp_growth,credit_growth,inflation,stock_growth,credit_gap,house_gap,house_growth,Country_AT,Country_BE,Country_DE,Country_DK,Country_ES,Country_FI,Country_FR,Country_GB,Country_GR,Country_IE,Country_IT,Country_LU,Country_NL,Country_PT,Country_SE,three_year
-956.5217396,7.753333332,,106.8,,,,0.137380192,0.04274303,0.059009484,104.616607,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16.06879499,16.5,,109.7,,,,0.023320896,0.211977186,,113.2704942,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-295.3592793,10.13,,105.3,,87.73304702,-0.004591669,-0.002840909,0.082656362,0.176557387,102.40913,78.81592367,0.025680029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,7.959999999,,72.5,,,,0.090225564,0.034784117,-0.001263008,70.98133049,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8.569999999,,93.2,,,,0.051918736,0.038496579,,84.89031122,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4346.295408,6.166666666,,91.8,,,,0.012127894,0.025012505,0.080205404,92.89455636,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-539.8995002,18.17,,121,,,,-0.013050571,0.080104756,,119.5832028,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
347.4370767,,,88.9,,96.53184263,,0.001126126,0.067397647,0.079207921,86.25194798,105.3687505,-0.100761371,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2321.654053,9.17,,107.4,,75.52773349,0.042884204,-0.00463392,0.094969073,0.434348024,106.0142185,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1182.248814,13.09666667,,55.5,,,0.042400496,-0.008928571,0.080917713,0.052938197,55.7990068,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-136,,,46.5,,,,0.00867679,0.11479042,,45.30228155,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,74.4,,96.1010097,,0.07826087,0.080952355,0.365678347,72.00656396,,0.110586249,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1323.52708,,,62.5,,115.0381267,,-0.087591241,0.115646291,0.268948437,61.06174482,108.1302845,0.089715927,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,6.716666666,,,,,,,0.032795873,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
490.1751915,8.273333333,,110.9,,,,0.130479103,0.040408589,0.037919827,105.7837445,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10.46914873,17.08,,110.4,,,,-0.015165031,0.235223437,,112.9722424,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
181.7972616,10.07333333,,105.5,,88.19827783,0.027939376,-0.001892148,0.075309846,0.179304942,102.8935443,78.36417901,0.023440026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,7.576666666,,72.3,,,,0.083958021,0.035695382,-0.012834284,71.58744447,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8.893333333,,93.4,,,,0.061363636,0.038421031,,84.8934891,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.608973,6.699999999,,91.4,,,,0.025813692,0.029135857,0.042430087,93.24641776,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-721.5128497,,,120.5,,,,-0.012295082,0.06877087,,119.8015853,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145.4697987,,,86.9,,95.20620276,,-0.007990868,0.071133719,0.1375,86.90095251,105.3123329,-0.103165561,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1091.769557,8.586666666,,105.9,,76.20968422,0.039450087,-0.039019964,0.10149473,0.469761744,106.2700647,,0.005187424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1868.351434,13.32333333,,56.2,,,0.041299589,0.005366726,0.095820693,0.158402573,56.6555906,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-629,,,45.8,,,,-0.012931034,0.156316811,,45.19183893,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,74,,97.44866066,,0.096296296,0.10798102,0.255405289,72.00784013,,0.073219645,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1617.308815,,,60.6,,123.0923863,,-0.059006211,0.129143512,0.27290856,60.85402925,107.7167369,0.180557201,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,6.723333333,,,,,,,0.038856841,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
367.454942,8.386666666,,113.6,,,,0.128103277,0.041666704,0.048713738,106.9474127,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
