,ISO2 Code,year,RAXGFX_USD,LUR_PT,TXG_FOB_USD,TMG_CIF_USD,FDSAOP_XDC,AIP_IX,ENDE_XDC_USD_RATE,FMB_XDC,FIMM_PA,EREER_IX,FILR_PA,FISR_PA,FDSF_XDC,FDSB_XDC,RAXG_USD,PCPI_IX,FASMB_XDC,PCTOT,NGDP_XDC,BGS_BP6_USD,BCAXF_BP6_USD,DSTKMKTXD,month,couprisk
73106,US,1990-01-01,45233.0,6.0,30664.1,42149.6,,,1.0,,8.23,108.080841111704,10.11,,,,64447.361462393,58.42549259248221,,99.3674697875977,,-15930.0,-15910.0,25.58663134103,01,0.0014753633877262473
73107,US,1990-02-01,43913.0,5.9,30961.8,38778.2,,,1.0,,8.24,108.149906509772,10.0,,,,63114.5248679896,58.7006518982553,,99.35049438476558,,,,24.96531978055,02,0.00022131593141239136
73108,US,1990-03-01,46424.0,5.5,35970.6,44208.4,,,1.0,,8.28,109.553677638948,10.0,,,,65243.0285402087,59.02167108832379,,99.3487548828125,,,,25.78619536244,03,0.0002343398809898645
73109,US,1990-04-01,46433.0,5.3,32617.1,40874.6,,,1.0,,8.26,109.562514127638,10.0,,,,65223.2106099483,59.113390856914904,,99.33489990234379,,-16549.0,-17769.0,25.86375849589,04,0.0002522613503970206
73110,US,1990-05-01,46803.0,5.2,33538.7,42695.9,,,1.0,,8.18,108.191593439244,10.0,,,,65963.36683766519,59.2509705098014,,99.34100341796879,,,,26.68082802568,05,0.00018131075194105503
73111,US,1990-06-01,47294.0,5.4,34470.2,42722.8,,,1.0,,8.29,108.601257363403,10.0,,,,66233.8432535479,59.571989699869995,,99.3118133544922,,,,27.64543076807,06,0.00019301485735923046
73112,US,1990-07-01,47457.0,5.6,30736.2,43376.3,,,1.0,,8.15,106.522353478654,10.0,,,,66842.2866468195,59.8012891213475,,99.3219451904297,,-25857.0,-29207.0,28.02179515116,07,0.00022675203217659146
73113,US,1990-08-01,48174.0,5.5,31722.9,44147.2,,,1.0,,8.13,104.568703551201,10.0,,,,67844.8383573794,60.351607732893704,,99.4158248901367,,,,25.61195273229,08,0.00022006280778441578
73114,US,1990-09-01,49414.0,5.6,31444.3,42305.8,,,1.0,,8.2,103.439502681733,10.0,,,,68961.1661328505,60.8560664601443,,99.4636383056641,,,,24.35902726401,09,0.0002025411813519895
73115,US,1990-10-01,51850.0,5.5,35310.3,49341.2,,,1.0,,8.11,101.044775054127,10.0,,,,71792.19653179191,61.2229455345084,,99.4527816772461,,-22516.0,-16066.0,23.49804989688,10,0.0002020443498622626
