;year;ISO2 Code;ENDE_XDC_USD_RATE;exchange_change;exchange_change_12m;pred;precrisis;<0.1;>0.1;>0.2;>0.3;>0.4;>0.5;>0.6;>0.7;>0.8;>0.9;;;;;;;;;;;;;
45;01/01/1991;UG;570;0.058823529;0.52;0.048396062;0;0.058823529;;;;;;;;;;;;;;;;;;;;;;
46;01/01/1991;UY;1.657;0.064839572;0.949411765;0.076477505;0;0.064839572;;;;;;;;;;;;;;;;;;;;;;
48;01/01/1991;VN;8706.25;0.048387097;0.627906977;0.09706315;0;0.048387097;;;;;;;;;;;;;;;;;;;;;;
49;01/01/1991;ZA;2.54000508;0.016067036;-0.007620015;0.030612104;0;0.016067036;;;;;;;;;;;;;;;;;;;;;;
50;01/02/1991;AF;42.82278;0;0;0.038894232;0;0;;;;;;;;;;;;;;;;;;;;;;
51;01/02/1991;AO;2.99E-08;0;0;0.6969696;1;;0;0;0;0;0;0;;;;;;;;;;;;;;;;
52;01/02/1991;AR;0.998;0.686660698;0.673093043;0.09431096;0;0.686660698;;;;;;;;;;;;;;;;;;;;;;
53;01/02/1991;AZ;;0.036180205;;0.34195846;0;;0.036180205;0.036180205;0.036180205;;;;;;;;;;;;;;;;;;;
54;01/02/1991;BD;35.79;0;0.109079641;0.053467628;0;0;;;;;;;;;;;;;;;;;;;;;;
55;01/02/1991;BG;0.02074;0.013370866;;0.7220831;1;;0.013370866;0.013370866;0.013370866;0.013370866;0.013370866;0.013370866;0.013370866;;;;;;;;;;;;;;;
56;01/02/1991;BR;8.12E-05;0.243307353;6.293053923;0.7884532;1;;0.243307353;0.243307353;0.243307353;0.243307353;0.243307353;0.243307353;0.243307353;;;;;;;;;;;;;;;
57;01/02/1991;CD;1.10E-08;0.17696;5.69515217;0.9330451;1;;0.17696;0.17696;0.17696;0.17696;0.17696;0.17696;0.17696;0.17696;0.17696;;;;;;;;;;;;;
58;01/02/1991;CL;337.67;0.001543668;0.142784622;0.019821942;0;0.001543668;;;;;;;;;;;;;;;;;;;;;;
59;01/02/1991;CO;588.63;0.017987446;0.287551677;0.026380455;0;0.017987446;;;;;;;;;;;;;;;;;;;;;;
60;01/02/1991;CR;111.5;0.043215838;0.305620609;0.17037745;0;;0.043215838;;;;;;;;;;;;;;;;;;;;;
61;01/02/1991;CZ;;0.002960897;;0.29999;0;;0.002960897;0.002960897;;;;;;;;;;;;;;;;;;;;
62;01/02/1991;DO;13;0.057268722;1.050473186;0.13987291;0;;0.057268722;;;;;;;;;;;;;;;;;;;;;
63;01/02/1991;DZ;16.5949;0.303351708;1.080187024;0.62818795;1;;0.303351708;0.303351708;0.303351708;0.303351708;0.303351708;0.303351708;;;;;;;;;;;;;;;;
64;01/02/1991;EG;2.074;0;0.885454545;0.2981257;1;;0;0;;;;;;;;;;;;;;;;;;;;
65;01/02/1991;ET;2.07;0;0;0.268817;0;;0;0;;;;;;;;;;;;;;;;;;;;
66;01/02/1991;GH;0.035335689;0.003460208;0.148409894;0.16819046;0;;0.003460208;;;;;;;;;;;;;;;;;;;;;
67;01/02/1991;GT;5.05684;0.007609779;0.311761349;0.052928418;0;0.007609779;;;;;;;;;;;;;;;;;;;;;;
68;01/02/1991;HR;;-0.004938858;;0.32665795;0;;-0.004938858;-0.004938858;-0.004938858;;;;;;;;;;;;;;;;;;;
69;01/02/1991;HU;70.7283;0.137954603;0.083483714;0.035766296;0;0.137954603;;;;;;;;;;;;;;;;;;;;;;
70;01/02/1991;ID;1920;0.005786428;0.059602649;0.043442875;0;0.005786428;;;;;;;;;;;;;;;;;;;;;;
71;01/02/1991;IL;2.034;-0.017578125;0.038815117;0.0657577;0;-0.017578125;;;;;;;;;;;;;;;;;;;;;;
72;01/02/1991;IN;19.0774;0.028190913;0.117899375;0.08944894;1;0.028190913;;;;;;;;;;;;;;;;;;;;;;
73;01/02/1991;IQ;1938.668292;0;0;0.057453472;0;0;;;;;;;;;;;;;;;;;;;;;;
74;01/02/1991;IR;65.029;-0.014914175;-0.071929098;0.13504599;0;;-0.014914175;;;;;;;;;;;;;;;;;;;;;
75;01/02/1991;KE;25.2054;0.026436529;0.139072668;0.054286584;0;0.026436529;;;;;;;;;;;;;;;;;;;;;;
76;01/02/1991;KR;724.4;0.003629257;0.043804035;0.071118705;0;0.003629257;;;;;;;;;;;;;;;;;;;;;;
77;01/02/1991;KZ;;-0.027386997;;0.32665795;0;;-0.027386997;-0.027386997;-0.027386997;;;;;;;;;;;;;;;;;;;
78;01/02/1991;LK;40.7;0.003479125;0.0175;0.020263687;0;0.003479125;;;;;;;;;;;;;;;;;;;;;;
79;01/02/1991;MA;8.1168;-0.010220194;0.007884966;0.011446297;0;-0.010220194;;;;;;;;;;;;;;;;;;;;;;
80;01/02/1991;MM;6.0545;-0.014209591;-0.071922375;0.10952844;0;;-0.014209591;;;;;;;;;;;;;;;;;;;;;
81;01/02/1991;MX;2.9702;0.004617369;0.098853126;0.026092285;0;0.004617369;;;;;;;;;;;;;;;;;;;;;;
82;01/02/1991;MY;2.7168;-0.000925412;0.005105438;0.006149162;0;-0.000925412;;;;;;;;;;;;;;;;;;;;;;
83;01/02/1991;NG;9.756097561;0.044172932;0.231219512;0.050856933;0;0.044172932;;;;;;;;;;;;;;;;;;;;;;
84;01/02/1991;PH;28;0;0.230174421;0.102359444;0;;0;;;;;;;;;;;;;;;;;;;;;
85;01/02/1991;PK;22.15;0.011415525;0.034080299;0.0755696;0;0.011415525;;;;;;;;;;;;;;;;;;;;;;
86;01/02/1991;PL;0.94816798;0;0;0.08287347;0;0;;;;;;;;;;;;;;;;;;;;;;
87;01/02/1991;PY;1323;0.051669316;0.0584;0.024806267;0;0.051669316;;;;;;;;;;;;;;;;;;;;;;
88;01/02/1991;RU;;0.010365784;;0.34195846;0;;0.010365784;0.010365784;0.010365784;;;;;;;;;;;;;;;;;;;
89;01/02/1991;SD;0.004500565;0;0;0.910458;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
90;01/02/1991;SG;1.7267;-0.007623961;-0.075741355;0.011475274;0;-0.007623961;;;;;;;;;;;;;;;;;;;;;;
91;01/02/1991;TH;25.24;-0.005535785;-0.021705426;0.06957815;0;-0.005535785;;;;;;;;;;;;;;;;;;;;;;
92;01/02/1991;TR;0.00333367;0.039207254;0.382927001;0.34596854;0;;0.039207254;0.039207254;0.039207254;;;;;;;;;;;;;;;;;;;
93;01/02/1991;TZ;200.1;0;0.029109237;0.0374026;0;0;;;;;;;;;;;;;;;;;;;;;;
94;01/02/1991;UA;;0;;0.34311187;0;;0;0;0;;;;;;;;;;;;;;;;;;;
95;01/02/1991;UG;600;0.055555556;0.583113456;0.048396062;0;0.055555556;;;;;;;;;;;;;;;;;;;;;;
96;01/02/1991;UY;1.726;0.040175769;0.92849162;0.097377904;0;0.040175769;;;;;;;;;;;;;;;;;;;;;;
98;01/02/1991;VN;8706.25;0.076923077;0.627906977;0.09706315;0;0.076923077;;;;;;;;;;;;;;;;;;;;;;
99;01/02/1991;ZA;2.566010623;-0.008788418;0.003720715;0.029855333;0;-0.008788418;;;;;;;;;;;;;;;;;;;;;;
100;01/03/1991;AF;42.82278;0;0;0.038894232;0;0;;;;;;;;;;;;;;;;;;;;;;
101;01/03/1991;AO;5.98E-08;0;1;0.8335295;1;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
102;01/03/1991;AR;0.9625;0.059447983;1.067669173;0.11422974;0;;0.059447983;;;;;;;;;;;;;;;;;;;;;
103;01/03/1991;AZ;;0.036180205;;0.34195846;0;;0.036180205;0.036180205;0.036180205;;;;;;;;;;;;;;;;;;;
104;01/03/1991;BD;35.79;0;0.056375443;0.053467628;0;0;;;;;;;;;;;;;;;;;;;;;;
105;01/03/1991;BG;0.015165;6.201388889;17.93258427;0.78752047;1;;6.201388889;6.201388889;6.201388889;6.201388889;6.201388889;6.201388889;6.201388889;;;;;;;;;;;;;;;
106;01/03/1991;BR;8.69E-05;0.014945035;4.613956767;0.8559336;1;;0.014945035;0.014945035;0.014945035;0.014945035;0.014945035;0.014945035;0.014945035;0.014945035;;;;;;;;;;;;;;
107;01/03/1991;CD;1.20E-08;0.396891143;6.077363559;0.97540635;1;;0.396891143;0.396891143;0.396891143;0.396891143;0.396891143;0.396891143;0.396891143;0.396891143;0.396891143;;;;;;;;;;;;;
108;01/03/1991;CL;344.38;0.000859565;0.157035345;0.019821942;0;0.000859565;;;;;;;;;;;;;;;;;;;;;;
109;01/03/1991;CO;598.46;0.016702363;0.276142955;0.028083479;0;0.016702363;;;;;;;;;;;;;;;;;;;;;;
