year,ISO2 Code,AIP_SA_IX,ENSE_XDC_XDR_RATE,FIMM_PA,LUR_PT,PCPI_IX,RAFAGOLDV_OZT,RAXG_USD,TMG_CIF_XDC,TXG_FOB_XDC,ISO Code
2000-07-01,BR,75.6176760022543,2.32987573120536,16.85,,52.6767636903145,3.8248415508813,28152.6721234085,9248.44265117136,8997.88694453429,BRA
2000-08-01,BR,75.6021088018421,2.37812531804458,16.52,,53.3667611618222,3.82558026445458,30332.865249063,10346.3811923879,9989.12224330372,BRA
2000-09-01,BR,74.6992111779346,2.39188247341596,16.56,,53.4894131088282,3.82643468454299,30381.8627118099,9821.75873793269,8692.75579423158,BRA
2000-10-01,BR,76.3182000208032,2.4412429588141,16.6,,53.564224374934,3.72724294072142,29409.89069093,10431.2513580003,8722.08693255733,BRA
2000-11-01,BR,75.6799448039031,2.51111464363914,16.51,,53.7356802380261,2.90799522210522,31750.773177047,10615.1038153268,8558.63860322513,BRA
2000-12-01,BR,79.0813780939685,2.5466636439205,16.19,,54.0525846141909,2.1181,32433.9847506899,10098.1875194945,9151.8461586231,BRA
2001-01-01,BR,77.1666124432681,2.55703460296078,15.49,,54.3608198736824,1.9883,35071.9894544223,10348.0917849198,8874.82828472116,BRA
2001-02-01,BR,77.9605396642902,2.64233710606959,15.2,,54.610939943624,1.3584011,35050.9199868426,8476.86807965664,8179.52884610431,BRA
2001-03-01,BR,76.8630520352302,2.72401451765605,15.39,,54.8183565869902,1.0284011,34142.0956256043,12054.7064689973,10804.6439630664,BRA
2001-04-01,BR,76.5984096282228,2.76436389504556,16.02,,55.1362241983408,1.1188799,34358.5626465439,10658.9792851335,10380.0885530234,BRA
2001-05-01,BR,77.1899632438864,2.95896802352926,16.43,,55.3622633886346,1.1196948,35155.1803590847,12537.0342425086,12340.0068047079,BRA
2001-06-01,BR,76.2325804185362,2.87009759652215,17.28,,55.650270709222,1.1202919,37016.3507900523,11913.4115968867,11990.5842343488,BRA
