,year,ISO2 Code,AIP_SA_IX,ENDE_XDC_USD_RATE,FIMM_PA,PCPI_IX,RAFAGOLDV_OZT,RAXG_USD,TMG_CIF_XDC,TXG_FOB_XDC,ISO Code,PCTOT,BCAXF_BP6_USD,FASMB_XDC,NGDP_R_K_IX,IXOB,General government,Private non-financial sector,debt_service,month,couprisk
10842,1998-07-01,MA,,9.6899,5.852,81.1207185847332,0.704214917,4204.5243749769,9101.2,6349.3,MAR,99.4907531738281,,,60.2127908605201,,,,,07,0.0013298965059220789
10843,1998-08-01,MA,,9.62345,6.35,81.1738776401622,0.704214917,4468.42204114175,7125,5463.7,MAR,99.4593048095703,,,,,,,,08,0.0012617817847058175
10844,1998-09-01,MA,,9.2593,6.274,81.7054681944527,0.704214917,4568.6811765907,7499.2,4916.6,MAR,99.4686584472656,,,,,,,,09,0.0013315456453710794
10845,1998-10-01,MA,,9.2106,5.815,82.1307406378851,0.704214917,4468.2104955982,8598.8,6026.2,MAR,99.4484252929688,,,61.6762995769532,,,,,10,0.0013322429731488226
10846,1998-11-01,MA,,9.3724,6.59,81.6523091390237,0.704214917,4406.57469205618,8633.4,5305.5,MAR,99.4243850708008,,,,,,,,11,0.0013340001460164785
10847,1998-12-01,MA,,9.2551,6.568,82.024422527027,0.704214917,4435.02946366241,9432.8,6991.4,MAR,99.2858276367188,,,,,,,,12,0.003637193934991956
10848,1999-01-01,MA,,9.4575,6.561,81.8649453607399,0.704216802,4289.97650901338,6940.7,5014.2,MAR,99.2615966796875,,,58.6250498561644,,,,,01,0.003350656479597092
10849,1999-02-01,MA,,9.6661,6.537,81.1738776401622,0.704216802,4168.33595045733,8480,6193,MAR,99.1714553833008,,,,,,,,02,0.003865194274112582
10850,1999-03-01,MA,,9.7658,6.04,81.2270366955913,0.704320578,4103.4656846386,8440.7,5694.6,MAR,99.1776428222656,,,,,,,,03,0.0013037147000432017
10851,1999-04-01,MA,,9.86345,6.407,81.4396729173075,0.704320578,4217.58949460118,7390.8,4878.9,MAR,99.313232421875,,,60.5366794204129,,,,,04,0.0015488192439079285
10852,1999-05-01,MA,,9.9466,5.79,81.8649453607399,0.704320578,4270.94545777994,8544.8,6114.7,MAR,99.3718719482422,,,,,,,,05,0.001321823801845312
10853,1999-06-01,MA,,10.03475,6.066,82.024422527027,0.704320578,4574.53877209735,8488.1,5659.4,MAR,99.3349838256836,,,,,,,,06,0.0013231277698650956
10854,1999-07-01,MA,,9.7915,5.681,82.024422527027,0.70432,5173.07896538186,9101.2,6349.4,MAR,99.3341598510742,,,61.8755843181108,,,,,07,0.0011563539737835526
10855,1999-08-01,MA,,9.8284,5.955,82.3433768596013,0.70440134,5944.46175696571,7124.9,5463.7,MAR,99.4823608398438,,,,,,,,08,0.003253406379371881
10856,1999-09-01,MA,,9.749,5.311,82.7686493030338,0.70440134,5943.09566416743,7499.2,4916.5,MAR,99.5146026611328,,,,,,,,09,0.0011292145354673266
10857,1999-10-01,MA,,9.8271,4.032,82.8218083584628,0.70440134,5910.55087418883,8598.9,6026.2,MAR,99.4904632568359,,,62.3527136454031,,,,,10,0.0011151633225381372
10858,1999-11-01,MA,,10.076,4.615,82.5028540258885,0.70440134,5704.05385081753,8633.5,5305.5,MAR,99.5833206176758,,,,,,,,11,0.0010941025102511046
10859,1999-12-01,MA,,10.087,4.667,82.7686493030338,0.70440134,5689.35914157326,9432.7,6991.4,MAR,99.65380859375,,,,,,,,12,0.001112333033233881
10860,2000-01-01,MA,,10.246,5.422,82.9281264693209,0.704557963,5420.05724640203,9004.9,6699.7,MAR,99.6135940551758,,,61.206922313857,,,,,01,0.001234347582794726
10861,2000-02-01,MA,,10.353,5.216,82.6091721367466,0.705330188,5303.44313935206,9416.1,7553.2,MAR,99.6410217285156,,,,,,,,02,0.001198521233163774
10862,2000-03-01,MA,,10.354,5.196,83.1939217464662,0.705330188,5165.54812706408,10227.3,6111.3,MAR,99.6462631225586,,,,,,,,03,0.0011845153057947755
10863,2000-04-01,MA,,10.678,5.476,83.9913075779019,0.705330188,4889.48685111407,10080,5628.9,MAR,99.570426940918,,,60.3845532176355,,,,,04,0.0010784977348521352
10864,2000-05-01,MA,,10.571,5.239,83.0876036356081,0.705,4858.56272910515,10775.4,6402.7,MAR,99.6419906616211,,,,,,,,05,0.0011894747149199247
10865,2000-06-01,MA,,10.405,5.285,82.9281264693209,0.705480901,4883.90412929751,11909.8,6841.5,MAR,99.6892318725586,,,,,,,,06,0.0011794815072789786
10866,2000-07-01,MA,,10.626,5.697,82.8749674138919,0.705480901,4705.22069466282,9949.4,7176.5,MAR,99.661018371582,,,63.1042953517191,,,,,07,0.0013900931226089597
10867,2000-08-01,MA,,10.834,5.713,83.0876036356081,0.705480901,4768.51826007761,10669.6,5739.5,MAR,99.6098327636719,,,,,,,,08,0.0011891599278897047
10868,2000-09-01,MA,,10.892,5.486,83.9913075779019,0.705979487,4815.61441409068,8782,5733.8,MAR,99.5133285522461,,,,,,,,09,0.001189873437397182
10869,2000-10-01,MA,,11.138,5.306,85.5329201853444,0.706,4634.95393840729,11081.7,6866.8,MAR,99.4082336425781,,,62.5712718223271,,,,,10,0.0011931316694244742
10870,2000-11-01,MA,,11.012,5.567,85.107647741912,0.705979487,4535.87749552594,10546.3,6596.8,MAR,99.4436721801758,,,,,,,,11,0.0011946926824748516
10871,2000-12-01,MA,,10.619,5.346,84.1507847441891,0.706,4823.17305482376,10084.3,7476,MAR,99.4537048339844,,,,,,,,12,0.0011902026599273086
10872,2001-01-01,MA,,10.616,5.636,83.9913075779019,0.705979487,4699.42020118592,10646,6551.5,MAR,99.4669189453125,,,64.9316504426321,,,,,01,0.001159438630566001
10873,2001-02-01,MA,,10.696,6.014,83.7255123007567,0.706075038,6867.79082491738,9801.1,6728.6,MAR,99.5072479248047,,,,,,,,02,0.0011323366779834034
10874,2001-03-01,MA,,10.985,5.503,83.5660351344695,0.706468558,6781.28400037568,9394.8,6681.2,MAR,99.5013580322266,,,,,,,,03,0.0009567962260916828
10875,2001-04-01,MA,,11.549,4.837,83.7255123007567,0.706468558,6903.69233241099,10139.2,6349,MAR,99.4808197021484,,,66.4096675676338,,,,,04,0.0011323338840156796
10876,2001-05-01,MA,,11.968,4.753,84.044466633331,0.706472763,6793.48923142336,11751.1,6094.5,MAR,99.5389022827148,,,,,,,,05,0.0011325628729537132
10877,2001-06-01,MA,,11.938,3.864,84.044466633331,0.706472763,6942.60902274553,11181.4,6627.5,MAR,99.4843902587891,,,,,,,,06,0.0011244325432926416
10878,2001-07-01,MA,,11.655,3.948,83.9381485224729,0.706,7078.38371093352,10120.8,6937.3,MAR,99.4654388427734,,,66.4669028821087,,,,,07,0.0011334503069519994
10879,2001-08-01,MA,,11.271,5.112,84.1507847441891,0.706,7929.56453177475,9692.4,6515.1,MAR,99.4319229125977,,,,,,,,08,0.001133503159508109
10880,2001-09-01,MA,,11.299,3.459,84.1507847441891,0.707,8058.52683501979,9366.8,6651.2,MAR,99.3410263061523,,,,,,,,09,0.0011337453033775091
10881,2001-10-01,MA,,11.391,3.493,84.3634209659053,0.707,8108.16426473558,12312.1,7066.6,MAR,99.2079696655273,,91555.27766373,68.1309399830856,,,,,10,0.001133688143454492
10882,2001-11-01,MA,,11.519,3.466,84.4165800213343,0.707,8149.8126521667,10036,7299.5,MAR,99.1396179199219,,,,,,,,11,0.001134571386501193
10883,2001-12-01,MA,,11.56,3.227,85.5860792407735,0.707,8473.8628769561,10276.1,7164.7,MAR,99.078254699707,,,,,,,,12,0.001134888851083815
10884,2002-01-01,MA,,11.776,2.962,85.7455564070606,0.707,8040.45623102003,10193.1,6548,MAR,99.1003875732422,,92244.86449387,67.5299584748557,,,,,01,0.0009060685988515618
10885,2002-02-01,MA,,11.771,3.134,86.3303060167803,0.707,8115.57684294434,9825.7,7956.8,MAR,99.1005706787109,,,,,,,,02,0.0009062567842192947
10886,2002-03-01,MA,,11.692,3.205,87.2871690145031,0.707,8269.43094038387,10245,7766.3,MAR,99.2579574584961,,,,,,,,03,0.001056862878613174
10887,2002-04-01,MA,,11.398,3.595,86.9682146819289,0.707,8527.11562118896,12177.7,7167.1,MAR,99.1807174682617,,89065.33860547,68.2331037360651,,,,,04,0.0009129405370913445
10888,2002-05-01,MA,,11.095,2.984,87.9250776796518,0.708,8796.28902630105,11555,7031.9,MAR,99.2562713623047,,,,,,,,05,0.0009134976426139475
10889,2002-06-01,MA,,10.579,2.835,86.7555784602127,0.7075,9210.08661985426,10247.7,7554.8,MAR,99.2524261474609,,,,,,,,06,0.0009139502071775496
10890,2002-07-01,MA,,10.705,2.834,85.5860792407735,0.708,9291.75269555235,11361.1,7668.3,MAR,99.3119659423828,,93365.37506699,68.9929115848054,,,,,07,0.0009143886272795498
10891,2002-08-01,MA,,10.665,2.765,85.5329201853444,0.708,9466.17081644205,9948.2,6187.7,MAR,99.3368911743164,,,,,,,,08,0.0009153767605312168
10892,2002-09-01,MA,,10.636,3.087,85.8518745179187,0.707688751,9645.18054106104,10239.7,6845.6,MAR,99.3952789306641,,,,,,,,09,0.0009154927101917565
10893,2002-10-01,MA,,10.639,2.773,86.2239879059221,0.707977593,9548.0647085334,12793.5,6816.2,MAR,99.3821182250977,,98725.85792555,70.0025134254578,,,,,10,0.0009163743816316127
10894,2002-11-01,MA,,10.587,2.718,86.9682146819289,0.708,9504.23841128087,10134.2,7509.3,MAR,99.4328231811523,,,,,,,,11,0.0009123663185164332
10895,2002-12-01,MA,,10.167,2.939,86.7555784602127,0.707977,10132.6568349756,11688,7337.2,MAR,99.4741287231445,,,,,,,,12,0.000919103214982897
10896,2003-01-01,MA,,9.9118,3.358,86.2771469613511,0.707977593,10308.1299731822,11368.9,6944.1,MAR,99.5397338867188,233.107972555471,100331.27629961,70.6013460768768,,,,,01,0.0008493562345393003
10897,2003-02-01,MA,,9.9292,3.394,86.7555784602127,0.707977593,10134.0717246846,10091.8,6519.4,MAR,99.6003036499023,,,,,,,,02,0.000851112068630755
10898,2003-03-01,MA,,9.857,2.97,86.2771469613511,0.707977593,10264.9062018343,11885.2,7502.7,MAR,99.4923248291016,,,,,,,,03,0.000836630177218467
10899,2003-04-01,MA,,9.6835,3.809,86.5961012939255,0.707977593,10377.4625446596,11084.6,7176,MAR,99.3771286010742,111.855798122969,99302.34007001,74.1288478057288,,,,,04,0.0013130883453413846
10900,2003-05-01,MA,,9.2567,3.59,86.8087375156417,0.707977593,11042.1866913634,11209.6,7119.1,MAR,99.4093170166016,,,,,,,,05,0.001109295291826129
10901,2003-06-01,MA,,9.4802,3.235,86.8618965710708,0.707977593,10804.4457447188,11325.3,6865.8,MAR,99.2735595703125,,,,,,,,06,0.0009545415523461998
10902,2003-07-01,MA,,9.5591,3.513,86.8087375156417,0.707977593,12114.4594581428,12332.1,7123.4,MAR,99.1609420776367,1123.58470931039,108869.04707555,73.598595096111,,,,,07,0.0009524067863821984
