country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Luxembourg;;;;;;;;;;;;;;;;8.9;8.7;8.5;8.1;7.1;6.5;6.9;6.8;6.8;7.3;7.4;7.8;7.7;14.9;15.7;19.8;18.7;21.7;23.7;22.7;22.2;20.7;23;21.4;21.3;21.1;21;20.7;20.4;20.1
Macao SAR;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Madagascar;;;;;;;;;;;118.3;138.4;137.3;126.8;113.5;116.4;121.9;107.9;127.7;119.7;107.7;98.6;105.5;100;95;86.5;37.4;32.8;35.2;39.2;37;35;35.5;42.5;34.7;35.7;47.1;46;45.7;46.5;47.5;49.3;51.3;53.3;55.2
Malawi;;;;;;;;;;;;;;;;;;;;;;;137.2;128.5;115.1;106.6;28.1;28.4;36.2;35.6;29.6;30.6;43.9;59.3;54.7;61.2;61.3;61.5;62.9;65.1;63.9;62;59.4;56.4;53.7
Malaysia;;;;;;;;;;;74.1;67.3;59.1;51.1;43.7;38.2;32.8;29.6;33.6;34.4;32.5;38.1;39.5;41.4;42;40.8;39.7;39.3;39.4;50.4;51.2;51.9;53.8;55.7;55.4;57;55.8;54.4;55.6;56.3;56.5;56;55.5;54.9;54.3
Maldives;;;;;;;;;;;;;;;;;;38.1;39.3;38.9;39;41.8;44.3;37.6;34.7;43.2;36.8;35.8;39;48.4;52.7;51.9;57.1;55.9;55.1;53.3;59.4;61.6;68;70.1;71.4;72.4;68.5;66.8;66.3
Mali;;;;;;;;;;;;;;;;;;;;;90.5;77.5;42.6;44.1;42.4;46.6;18.1;18.5;20.2;21.9;25.3;24;25.4;26.4;26.9;30.7;36;36;37.3;37.6;38.2;38.9;39.4;39.5;39.8
Malta;;;;;;;;;;;;;;;;45.1;51.3;60.5;66.1;69.5;64.2;70.1;64.9;68.7;71.1;70;64.5;62.3;62.6;67.6;67.5;70.2;67.7;68.4;63.3;57.8;55.5;50.3;45.2;42.3;39.1;35.7;32.2;30.1;28.3
Marshall Islands;;;;;;;;;;;;;;;;;;8.9;18.5;27;27.9;34.4;38.8;44.5;46.9;45;43.3;41.2;41.6;40.2;37.2;35.3;36.4;32.3;35.1;34.3;29.8;27.2;25.2;23.3;23.1;22.6;22.5;22.9;25.9
Mauritania;;;;;;;;;;;;;;;;;;;;;150.9;149.2;131.6;114.6;110;99.7;53.2;47.3;52.9;62.4;57;50.9;50.6;51.3;59.5;75.2;77.4;75.9;82.9;78.5;79.3;75.7;68.7;63.5;58.8
Mauritius;;;;;;;;;;;;;;;;;;;;;57.7;59;63.8;67.8;60.2;59.1;56.1;50.8;49.4;57.6;55.1;55.6;55.1;57.5;60.6;65;65;64.3;66.2;68.7;69.4;68.2;67;65.9;64.9
Mexico;;;;;;;;;;;;;;;;;44.7;40.9;42;43.8;40.3;39.3;41.9;44.2;40.8;38.5;37.4;37.2;42.5;43.7;42;42.9;42.7;45.9;48.9;52.8;56.8;54.1;53.6;53.8;54.6;54.7;54.9;54.9;55.1
Micronesia, Fed. States of;;;;;;;;;;;;;;;;54;43.9;47.2;42.1;35.8;27;23.6;24;24.6;25.3;24.7;25;25.7;28.9;30.8;28.9;28.4;27.1;27.7;28.2;25.7;24.3;22.1;20.3;18.5;16.7;15.3;13.9;12.7;16.1
Moldova;;;;;;;;;;;;;;;;66.2;72.9;74.2;132.8;125.6;74.2;71.1;66.9;56.7;41.1;33.7;29.1;23.6;18.5;27.2;25.5;24.2;25.9;24.9;30.3;37.8;35.6;31.8;29.7;29.5;31.5;32.3;32.6;32.9;33.2
Montenegro;;;;;;;;;;;;;;;;;;;;;;;76.7;40.9;45.4;38.6;36.7;31.8;34.2;43.7;45;48.6;56.9;58.7;63.4;69;66.6;66.3;72.6;81.1;74.8;67.8;63.2;59.8;54.7
Morocco;;;;;;;;;;;76.3;64;72.5;80.8;75;78.2;70.7;73.5;69.8;68.6;70.2;65.4;64.3;61.6;58.9;59.3;54.8;50.9;45.4;46.1;49;52.5;56.5;61.7;63.3;63.7;64.9;65.1;65;65.3;64.5;63.2;62;60.9;60
Mozambique;;;;;;;;;;;;;;;;;;;;115.9;118.2;123.4;75.8;74.9;59.7;70.2;46.6;36;36.3;41.9;43.3;38;40.1;53.1;67.2;94.2;129.9;100.5;99.8;108.8;106.8;107.2;108.2;101.7;90.3
Myanmar;;;;;;;;;;;;;;;;;;;178.9;132;135.3;211.3;166.4;133.4;111.8;105.6;94.7;75.5;58.6;53;50.2;47.7;46.5;43.4;37.6;37.1;39.8;35.2;38.2;38.7;38.7;38.9;39;39.1;39.1
Namibia;;;;;;;;;;;;;;17.8;17.4;19.4;20.6;19.7;22.4;22.9;20.4;23.6;22.1;26.4;28.8;26;24.4;18.7;18.8;15.5;16;26.2;23.7;24.2;26.3;39.9;42.6;41;45.8;49.2;50.9;51.4;53;54.3;56
Nauru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;248;243.2;188.2;127.6;121.7;83.9;81.7;61.2;59.4;58.3;54.8;53.2;52;50.9;49.6;47.7
Nepal;;;;;;;;;;;;;;;;;;;;;57.9;57.9;59.1;60.4;58.5;51.5;48.9;43.2;41.9;38.5;34;31.7;34.3;32.2;28.2;25.6;27.9;26.1;30.2;32.6;34.9;36.2;37.5;38.7;39.7
Netherlands;43.6;46.9;52.5;58.5;62;67.2;69.1;71.4;73.8;73.9;75.1;74.9;75.7;76.8;73.6;72.2;70.5;64.9;61.7;57.5;50.9;48.2;47.5;48.7;49.1;48.5;44.1;42;53.8;55.8;59.4;61.8;66.4;67.8;68;64.6;61.9;56.9;52.4;49.2;47.3;45.5;43.6;41.7;39.8
New Zealand;;;;;;64.2;68.6;63;54.8;55;55.4;58;58.7;54.6;49;43.5;37.3;34.6;34.5;32;30;28.2;26.4;24.7;22.5;20.8;18.4;16.3;19;24.3;29.7;34.7;35.7;34.6;34.2;34.4;33.5;31.6;29.8;29.6;30.2;30.6;31.9;31.4;28.5
Nicaragua;;;;;;;;;;;;;;;;;;86.4;86.5;99.8;95.2;87.5;110.4;109.5;84;66.6;51.2;30.9;26;29.3;30.3;28.8;27.9;28.8;28.7;28.9;30.9;33.9;37.2;39;40.2;41.2;41.8;42.4;42.9
Niger;;;;;;;;;;;;;;;;90.7;81;91.1;81.7;83.7;109.8;99.5;92.3;77.5;71.1;64.1;23.8;23.8;19;21.6;20.6;20.1;24.6;26;29;39.9;44.6;54.4;53.8;55.8;54.3;52.5;48.3;46.5;44.3
Nigeria;;;;;;;;;;;71.7;75;70.2;71;55.9;34;25.2;24.1;22.3;64.9;57.6;53.1;43.3;42.1;35.5;18.9;9.4;8.1;7.3;8.6;9.6;17.6;17.7;18.6;17.5;20.3;23.4;25.3;27.3;29.8;31.4;32.6;33.9;35.1;36
North Macedonia ;;;;;;;;;;;;;;;;;;;;29.8;45.6;45.2;40.5;36.5;34.6;36.7;30.6;23.5;20.6;23.6;24.1;27.7;33.7;34;38;38.1;39.8;39.5;40.5;40.7;40.9;41.1;41.3;41.5;41.7
Norway;46.7;42.5;37.7;34.7;34.5;36.2;45.1;37.7;31.8;31.7;28.4;38.4;44.1;52.6;49.6;32.1;27.8;25.2;22.9;24.3;28.1;26.7;33.5;42.6;43.4;42;52.3;49.2;47.2;42;42.3;28.9;30;30.4;28.4;32.9;36.4;36.9;40;40;40;40;40;40;40
Oman;;;;;;;;;;;20.4;26.6;28.4;28.1;30.7;28.5;27.6;27.1;38.4;35.4;26.7;27.4;21.1;19.4;16.6;9.6;8.7;6.9;4.7;6.7;5.8;5.2;4.9;5;4.9;15.5;32.7;46.4;53.4;59.9;63.9;65;68.5;72.9;76.9
Pakistan;;;;;;;;;;;;;;;73;65.2;65.5;65.8;67;75.6;76.8;81.2;76.1;70.5;63.2;58.9;53.7;52.4;57.2;58.5;60.6;58.9;63.2;63.9;63.5;63.3;67.6;67;71.7;76.7;78.6;76.1;72.5;69;65.4
Panama;;;;;;;;;;;;;;;81.2;79.5;67.4;62.4;60.3;57.2;55.5;59.9;59.1;58.5;60.9;61.5;56.7;49.2;41.5;40.5;39.5;36.9;35.3;34.4;36.5;37.4;37.3;37.5;39.5;41.3;41.8;41.4;40.7;40;39.3
Papua New Guinea;;;;;;;;;;;;;;;39.2;35.7;36.9;42.9;44.7;40.8;41.4;46.6;46.1;39.5;37;31.5;26;22.2;21.6;21.7;17.3;16.3;19.1;24.9;26.9;29.9;33.7;33.1;35.5;41.4;44;45.6;46.4;46.9;47.2
Paraguay;;;;;;;;;;;67;49.4;34.4;26.6;18.7;17.6;16.8;18;22.1;32;33.6;40.3;54.5;40.3;30.3;24.1;18.2;14.9;14.5;13.7;12.1;10.2;12.5;13.2;15.6;18.6;19.4;19.8;21.5;23.7;22.6;21.7;21.1;20.5;20.3
Peru;;;;;;;;;;;;;;;;;;;;;44.9;43.8;45.5;49.4;46.7;40.4;34.9;31.9;27.9;28.3;25.3;23;21.2;20;20.6;24.1;24.5;25.4;26.1;26.9;27.2;26.6;26.1;25.6;25.1
Philippines;;;;;;;;;;;;;;76.1;65.5;62.7;54.7;58.7;52.4;55.9;61.1;61.5;67.5;74.1;73.9;67.4;59.7;52.4;52.1;52.1;49.7;47.5;47.9;45.7;42.1;41.5;39;39.9;38.9;39.3;39.3;38.8;38.3;37.8;37.4
Poland;;;;;;;;;;;;;;;;48.7;43.1;42.7;38.7;39.3;36.4;37.1;41.5;46.3;45.1;46.4;46.9;44.2;46.3;49.4;53.1;54.1;53.7;55.7;50.4;51.3;54.2;50.6;48.9;47.8;47.3;47.1;47.1;47.1;47.4
Portugal;;;;;;;;;;;56.4;59.9;54.4;53.6;56.6;58.3;59.5;55.2;51.8;51.1;50.3;53.4;56.2;58.7;62;67.4;69.2;68.4;71.6;83.6;90.7;111.4;126.3;128.9;130.6;128.8;129.2;123.9;120.1;117.6;114.8;109.3;105;103.2;99.3
Puerto Rico;;;;;;;;;;;;;;;;;;;;;;;;;;;33.4;36.9;40.8;46.5;48.3;50;53.7;52.3;54.5;52.7;49.9;51.6;55.5;58.9;61.5;62.9;63.6;64.3;64.9
Qatar;;;;;;;;;;;10.7;17.6;16.6;37.5;44.2;42.3;49.5;48;63.4;74.4;52.5;59.1;47.6;39.1;29;19.2;13.4;8.9;11.1;32.4;29.1;33.5;32.1;30.9;24.9;35.5;46.7;49.8;48.6;53.2;48;43.1;39.5;35.5;31.4
Romania;;;;;;;;;;;;;;;;;;;;;29.6;27.4;27.4;24.9;21.3;17.8;12.7;12.4;13;22.5;30.9;34.2;37.8;39;40.5;39.4;38.9;36.9;36.7;37.4;38.6;39.8;41.1;42.2;43.1
Russian Federation;;;;;;;;;;;;;;;;;;51.5;135.1;92.3;55.8;44.4;37.5;28.3;20.8;14.8;9.8;8;7.4;9.9;10.9;11.2;11.9;13.1;16.1;16.4;16.1;15.5;14.6;16.5;17.7;18.3;19;19.8;20.9
Rwanda;;;;;;;;;;;;;;;;119.5;99;85.7;83.1;93;102.5;98.6;108;92.1;92.1;67;23.4;23.2;19.2;18;19;16.3;18.6;20.8;26.6;29.7;32.9;36.5;40.7;49.1;50.6;52.2;52.2;51.2;51.5
Saint Kitts and Nevis;;;;;;;;;;;;;;;;;48.9;66.5;77.4;89.2;93.8;105.8;120.3;141.3;153.8;157.3;141.9;134;129;136.6;145.1;135;126.5;94.9;82.9;72.6;65.8;64.3;60.5;57.4;58.2;59.2;62.4;65.7;69.4
Saint Lucia;;;;;;;;;;;18.7;21.5;24.7;25.4;26.1;25.4;26.7;29.7;32.5;32.2;36.6;42.5;53.2;49.9;54.5;56.3;52.6;50.9;51.8;54.5;55.7;59.9;66.9;68.6;68.9;66.1;66.2;65.5;64.3;65.9;68.8;73.3;73.7;74.5;74.7
Saint Vincent and the Grenadines;;;;;;;;;;;59.8;57.9;54.8;53.3;58.6;51.5;44.5;42.5;43.1;57.8;58.6;56.5;55.4;53.9;62;65.4;64.1;52.8;56.7;63.6;65.4;68.8;72.5;75;79.4;79.4;82.4;73.5;74.5;72;70.5;68.9;67.6;66.4;65.4
Samoa;;;;;;;;;;;;;;;;;;;60.5;61;57.2;55.2;51.6;43.9;40.9;35;34.4;32.3;28.9;32.3;41.2;42.1;49.2;53.6;54.4;57.8;52.6;49.1;50.3;49.3;48.9;49.8;50.8;51.6;53.7
San Marino;;;;;;;;;;;;;;;;;;;;;;;;;15.4;13.2;12.9;13;15.8;20.4;20.3;19.5;23.3;35;32.9;33.5;35.2;76.6;77.9;85.1;85.5;85.5;85.5;85.4;85.5
Saudi Arabia;;;;;;;;;;;;39.4;47.8;58.6;67.9;74.2;75.2;76.7;101.5;103;86.7;93.1;96.4;81.6;62.9;37.3;25.8;17.1;12.1;14;8.4;5.4;3;2.1;1.6;5.8;13.1;17.2;19;23.2;28.4;33.6;36.5;37.9;41.5
Senegal;;;;;;;;;;;;;;;;;0.1;67.3;18.8;15.2;58;56;53.7;43.2;37.6;36.1;17.3;18.6;18.9;26.9;28.3;32.7;34.2;36.8;42.4;44.5;47.5;61.2;61.6;63.3;63.1;63.4;62.2;58.5;57.4
Serbia;;;;;;;;;;;;;;;;;;;;;224.8;106.3;76.1;71.8;62.2;51.3;38;31.2;30.6;33.9;41.2;44;54.4;57.5;67.6;71.3;68.9;58.7;54.5;52.7;49.5;46.5;44;41.6;39.2
Seychelles;;;;;;;;;;;80.4;89.2;79.9;82.2;123.5;133.5;146.7;143;161.2;159.8;177.8;199.8;195.9;177;163.2;144.1;135.1;144;192.1;106.1;82.2;82.5;80.1;68.2;72.7;67;69;63.2;56.9;53.8;49.7;45.4;41.3;37.9;35.4
Sierra Leone;;;;;;;;;;;;;;;;;;;;;;180.7;158.8;160.3;151.6;130.9;103.2;42.2;42.4;48.1;46.8;44.8;36.8;30.5;35;44.9;55.5;57.9;63;64.5;65.4;65.9;64.7;64.2;63.2
Singapore;;;;;;;;;;;73.5;76.4;79;71.2;70.7;69.8;71.3;70.8;84.6;85.3;82.3;94.5;96.3;99.1;95.7;92.7;86.5;87.8;97.9;101.7;98.7;103.1;106.7;98.2;97.8;102.3;106.9;109.5;113.6;114.1;114.6;115.1;115.5;116;116.5
Slovak Republic;;;;;;;;;;;;;;;;21.7;30.5;33;33.9;47.1;49.6;48.3;42.9;41.6;40.6;34.1;31;30.1;28.5;36.3;41.2;43.7;52.2;54.7;53.5;52.2;51.8;50.9;48.9;48.4;47.8;47.2;46.7;46.3;45.9
Slovenia;;;;;;;;;;;;;;;;16.7;20.1;20.7;21.2;22;29.1;28.5;28.5;27.1;26.9;26.4;26.1;22.7;21.7;34.6;38.2;46.4;53.5;70;80.3;82.6;78.7;74.1;70.4;67.1;64.5;62.2;60;58;56.1
Solomon Islands;;;;;;;;;;;;;;;;;;;;;;;;70.7;58.2;53.3;48.4;43.9;35.5;33.9;28.5;20.6;17;15.3;11.9;10.1;7.9;9.5;9.4;10.9;12.2;13.3;16.1;19.5;21.9
South Africa;;;;;;;;;;;;;;;;;;;;;42.2;42.4;35.5;35.4;34.4;33.2;31.4;27.1;26.5;30.1;34.7;38.2;41;44.1;47;49.3;51.5;53;56.7;59.9;64.2;67.9;71.1;74.1;77
South Sudan, Republic of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;8.9;17.6;38.3;60.3;85.7;63.2;42.2;34.4;27.4;26.6;22;18.4;18.7
Spain;16.6;20;25.1;30.4;37.1;42.1;43.3;43.1;39.6;41;42.5;43.1;45.4;56.2;58.7;63.4;67.5;66.2;64.2;62.5;58;54.2;51.3;47.6;45.3;42.3;38.9;35.5;39.4;52.7;60.1;69.5;85.7;95.5;100.4;99.3;99;98.1;97.1;96.4;95.2;94;92.8;91.7;90.5
Sri Lanka;;;;;;;;;;;81.6;83.2;80.6;81.8;80.5;80.4;78.8;72.5;76.7;80.3;81.9;87.2;99.5;89.4;89.4;79.2;76.8;74.3;71.1;75.2;71.6;71.1;69.6;71.8;72.2;78.5;79;77.4;83.3;83;82.7;80.7;78.1;75.5;72.8
Sudan;;;;;;;;;;;;;495.2;285.9;386.5;239;220.9;167.7;179.7;160.5;143.2;125.6;121.7;117.4;97.8;75.5;63.7;53.7;55.8;71;74.6;78.1;117.7;105.8;84.4;92.2;128.4;159.2;212.1;207;212.8;214.9;210;210;212.4
Suriname;;;;;;;;;;;78;81.1;68.9;54.7;32.7;17.4;12.6;18;23.2;34.6;38.3;39.8;38.1;33.5;31.6;28.9;23.9;17.4;15.6;15.6;18.5;20;21.4;29.6;26.4;43.4;75.2;78;72.8;75.6;78.1;83.4;83.3;87.9;92
Sweden;;;;;;;;;;;;;;66.3;68.7;68.8;69.2;67.9;65.6;60.5;50.5;52.1;50.1;49.6;48.8;49.1;44;39.2;37.7;40.9;38.1;37.2;37.7;40.4;45;43.7;42.1;40.4;38.5;36.9;35.4;33.8;32.3;30.9;29.5
Switzerland;;;;;;;;;;;34.3;36.1;40.7;45.7;48.5;51.5;52.9;55.2;57.5;54.1;53.5;52.4;59.1;58.2;59.2;56.1;49.6;45.5;45.9;44.1;42.6;42.9;43.7;42.9;43;43;41.8;42.6;40.5;38.6;37.3;36;34.7;33.4;32.1
Syria;;;;;;;;;;;189.8;182.4;173.6;171.9;163;152.6;141.5;147.6;151.2;147.7;152.1;144.5;132.4;133.4;113;50.7;45;42.7;37.3;31.2;30;;;;;;;;;;;;;;
São Tomé and Príncipe;;;;;;;;;;;;;;;;;;;;;;410.1;362.4;325.6;347.4;295.7;269.6;103.8;58.5;72.4;79.5;78;81;71.2;69.5;85.8;95.3;91.7;74.5;77.2;65.5;61.2;57.1;53.4;49.5
Taiwan Province of China;;;;;;;;;;;;;;;;;;24.9;23.6;23.7;26.2;30;29.6;32;33.3;33.9;33.1;32.1;33.3;36.6;36.7;38.2;39.2;39;37.8;36.6;36.2;35.5;35.1;33.6;32.3;30.7;29.2;27.6;26
Tajikistan;;;;;;;;;;;;;;;;;;;96.6;107.8;111.4;99.4;93.5;65.8;48.1;45.8;34.3;31.3;28.1;36.4;36.6;35.3;32.3;29.1;27.7;34.7;42.1;50.4;47.9;45.4;45;44.9;45.1;45.7;45.6
Tanzania;;;;;;;;;;;;;;;;;;;;;;50.8;47.4;44.4;44.5;46.1;32.4;21.3;21.2;24;27;27.4;28.7;30;32.6;35.9;36.4;36.6;37.3;37.7;38.2;38.8;39.5;40;40
Thailand;;;;;;;;;;;;;;;;;15.2;40.5;49.9;56.6;57.8;57.5;54.9;47.5;46.3;45.5;39.2;36;34.9;42.4;39.8;39.1;41.9;42.2;43.3;42.6;41.8;41.9;42.1;42.4;43;43.8;44.3;44.6;45
Timor-Leste;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.5;1.5;3.1;4.3;6.1;;;;;;
Togo;;;;;;;;;;;;;;;;;;;;;;;;;;85.1;91.4;102.3;92.7;80.6;46.3;47.3;48;57.2;62.8;72.1;81.4;76;76.2;72.6;68.7;64.5;60.6;56.7;53.1
Trinidad and Tobago;;;;;;;;;65.3;51.9;49.5;50;49.5;59.6;54.8;51.1;48;46.5;43.4;43.4;40.6;37.2;35.8;30.6;24.1;19.8;16.8;16.3;13.8;18.1;20.3;28.9;24.6;24.8;23.6;27.2;37.8;42.9;45.1;49.7;52.5;54.8;57.3;59.6;61.5
Tunisia;;;;;;;;;;;;66.4;65.2;66.9;67;68.8;70.1;69.9;61;65;65.9;54.7;54.2;55.1;54.1;52.4;48;44.8;42;40.7;39.2;43.1;47.7;46.8;51.5;55.4;62.3;70.6;77;74.4;78.7;81.9;78.5;73.7;68.9
Turkey;;;;;;;;;;;;;;;;;;;;;51.6;76.1;72.1;65.7;57.7;50.8;44.7;38.2;38.1;43.9;40.1;36.5;32.7;31.4;28.8;27.6;28.3;28.2;30.2;30.1;30.8;31.7;32.9;34.2;35.2
Turkmenistan;;;;;;;;;;;;;;;;;;50.7;64.4;52.6;43.5;26.9;19.1;13.3;9;5.4;3.3;2.4;2.8;2.4;4;10;18.1;20;16.8;21.8;24.1;28.8;29.1;30.3;29.5;30;31.3;33.1;33
Tuvalu;;;;;;;;;;;;;;;;;;;;;;;;;;39.4;39.8;34.6;37.5;31.1;27.4;24.2;27.5;27.3;64.5;56.9;47.2;37;28.1;22.6;17.4;8.4;4.7;3.9;3.5
Uganda;;;;;;;;;;;;;;;;;;57.3;58.5;61.9;63;66.6;71;71.5;63.5;55.2;36;22;20.3;19.2;22.4;23.4;24.5;27.8;30.7;34.3;37.1;39.7;41.4;43.6;47;48.7;48.7;46.9;43.7
Ukraine;;;;;;;;;;;;;;;;;;28.9;46.5;59;43.8;36.7;33.6;29.4;24.8;17.7;14.8;12.3;20.4;35.4;40.6;36.9;37.5;40.5;70.3;79.5;81.2;71.6;60.2;57;54.3;51.8;49.3;46.6;44.7
United Arab Emirates;;;;;;;;;;;;;;;;;;;;4.8;3.1;2.7;3.6;4.4;5.6;6.6;6.8;7.9;12.5;24.1;21.9;17.4;17;15.8;15.5;18.7;20.2;20;19.1;20.1;20.3;20.3;20.2;20;19.7
United Kingdom;42.5;44.8;43;41.8;42.2;41.3;41.3;39.4;37.1;32.6;28.6;28.6;33.4;38.1;40.9;43.9;44;43.4;41.2;39.8;37;34.3;34.4;35.6;38.6;39.8;40.7;41.7;49.7;63.7;75.2;80.8;84.1;85.2;87;87.9;87.9;87.1;86.8;85.6;84.8;84.6;84.3;83.8;83.3
United States;;;;;;;;;;;;;;;;;;;;;;53.1;55.5;58.6;66.1;65.4;64.2;64.6;73.7;86.7;95.4;99.7;103.2;104.8;104.4;104.7;106.8;106;104.3;106.2;108;110;112.3;114.2;115.8
Uruguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.2;50.2;44.3;44.7;54.1;54.3;55.5;62.9;61.4;60.7;63.5;64.1;64.1;64;65.2;66.1;66.5
Uzbekistan;;;;;;;;;;;;;;;;;;19.2;20.9;21.3;31.2;46.6;43.1;32.5;27.8;21.7;14;9.9;8.6;7.6;7;7;7.4;6.6;6.4;7.1;8.6;20.2;20.6;23.3;24.8;24.8;24.7;24.8;25
Vanuatu;;;;;;;;;;;;15.9;21;20.3;21.6;24.1;23.1;22.9;28;30.6;36.1;37;38.8;38.3;30.4;26.3;22.2;19.1;20.6;20.5;19.4;20.7;18.4;17.6;24.8;34.7;45.2;52.1;51.4;49.2;50.7;52.5;54.1;55.7;57.2
Venezuela;;;;;;;;;;;;;;;;;;;26.3;24.7;19.1;19.3;40;37.9;28.1;24.5;16.5;19.1;15.4;18.9;25;31.7;30.1;33.3;25.2;11.1;5.1;23.1;182.4;;;;;;
Vietnam;;;;;;;;;;;;;;;;;;;;;31.4;32.3;35.2;37.9;37.4;36.5;38.4;40.9;39.4;45.2;48.1;45.6;48.1;51.7;54.7;57.1;59.7;58.2;55.6;54.3;53.3;52.5;51.6;50.5;49.4
Yemen;;;;;;;;;;;;;;;;;;;;96.1;60.8;60.6;57.8;56.8;52.1;43.8;40.8;40.4;36.4;49.8;42.4;45.7;47.3;48.2;48.7;65.5;79.6;84.3;64.8;56.3;56.8;43.5;36.1;30.5;22.5
Zambia;;;;;;;;;;;;;;;;;;;;;261;210.2;180.2;159.5;129.9;75.7;25;21.9;19.2;20.5;18.9;20.8;25.4;27.1;36.1;62.3;60.7;61.8;78.1;91.6;95.5;98;97.6;96.7;95.1
Zimbabwe;;;;;;;;;;;;;;;;;;;;;;;;;;33.1;39.4;44.7;61.1;62;49.6;41.4;37.2;38.6;40.3;41.8;54.2;52.9;37.1;17.7;15.1;15.4;15.3;14.9;14.5
Africa (Region);;;;;;;;;;;;;;;;;;;;;69.7;67.6;63.3;59;53.3;45.7;36.7;32.2;30;34.7;34;35.4;36.5;39.1;40.5;47.3;54.3;54.9;56.9;57.6;58.3;58.1;57.6;56.8;56.3
Asia and Pacific;;;;;;;;;;;;;;;;;;;;;92.3;93.1;93.9;94.5;95.5;91.7;84.2;77.7;78.5;87.6;85.6;86.4;86;79.1;77.6;74.8;80.1;78.7;79.8;82.4;84.7;85.8;86.8;87.7;88.5
Australia and New Zealand;;;;;;;;;;21.8;21.3;25.9;31.3;33.7;34;33;30.5;27.2;25.1;23.8;20.8;18.5;16.5;14.7;13.4;12.2;11;10.5;12.6;17.5;21.4;25.1;28.4;30.9;34.1;37.3;39.6;39.9;39.9;40.2;40.6;39.8;38.6;37;35.5
Caribbean;;;;;;;;;;;;;;;;;;;;37.3;39.4;42.9;45.9;56.9;50.1;49.3;46.2;43.3;43.6;48.7;49.9;51.9;53.9;55.6;54.7;54.3;56.8;58;57.9;59.2;59.5;59;58.6;58.1;57.8
Central America;;;;;;;;;;;;;;;;;;;;;42.3;44.2;46;47.1;45.4;42.5;38.3;32.5;29.7;32.6;33.1;32.7;34.5;35.4;36.4;37.2;38.3;39.2;41.3;43;43.9;44.3;44.3;44.2;43.9
Central Asia and the Caucasus;;;;;;;;;;;;;;;;;;;;;;;67.8;60.6;52.4;45.2;36.6;30.8;30.3;34.6;31.8;28.4;26.2;25.3;23.9;25.2;26;27;28.2;28.4;28.9;29.5;30.4;31.3;31.9
East Asia;;;;;;;;;;;;;;;;80.4;81;80.5;88.8;98.6;102.7;102.6;105.1;108.5;112.1;109.6;102;95.2;96.3;106.7;105.9;107;105.5;95.6;92.6;86.6;93.8;91.8;92.4;95.7;99;100.9;102.7;104.2;105.7
Eastern Europe ;;;;;;;;;;;;;;;;;;;;56.4;45.8;40.3;38.3;35.2;30.4;26.4;22.4;20.2;20.8;26.5;27.9;27.9;27.8;29.4;32.8;35.7;36.3;33.4;32.1;32.5;33;33;33.1;33.2;33.5
Europe;;;;;;;;;;;;;;;;;;64.9;66;63.3;59.5;57.8;57.8;58.9;58.7;58.2;55.9;53.5;56.7;67;71.1;72.4;74.5;76.2;78.1;78.6;78.3;75.7;74.2;72.9;71.6;70.5;69.4;68.2;67
Middle East (Region);;;;;;;;;;;;;;;;;;;;;44.7;47.9;61.2;55.4;58;42.3;32.9;28.3;24.6;30.5;26;22.2;22.1;22.1;21.9;32.3;38.8;39.2;37;39.4;41;42.7;44;45;46.5
North Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.7;47.9;53.1;54.8;61.7;70.2;70.3;69.7;70;71.2;70.5;69.8;67.5;66.5
North America;;;;;;;;;;;;;;;;;;;;;;54;56.1;59;65.1;64.3;62.9;63;71;83.6;90.7;94.1;97.5;99;99;100.5;103;101.9;100.4;102;103.4;105;106.7;108.1;109.3
Pacific Islands ;;;;;;;;;;;;;;;40.2;38.1;39.1;44.7;42.6;38.7;40.4;44.9;45;41.9;39.5;35.4;32.7;29;27.9;27.9;24.4;22.7;24.1;28.3;29.6;32.1;35.2;34.9;37;41.3;43.3;44.6;45.3;45.9;46.3
South America;;;;;;;;;;;;;;;;;;;;;49.9;53.2;72.7;68.9;63.1;56.6;52.4;50.4;48.2;51.2;49.5;48.5;48.2;48.1;50.1;53.9;57.4;64.6;75;78.1;77.2;76.5;76;74.8;73.7
South Asia;;;;;;;;;;;;;;;73.6;69.2;66.3;67.6;68.2;71.1;74.1;79;82.2;79.6;78.1;75.7;72.1;69.9;68.8;67.8;63.8;65.4;65.2;64.8;64.2;65.6;65.1;65.1;65.8;66.9;66.5;65.7;64.8;63.9;63.1
Southeast Asia;;;;;;;;;;;;;;;;;;;;;65.4;65;61.7;59;56.7;52.2;46.6;44.3;43.5;46.2;44.1;43.4;44.9;45.2;45.5;47;47.4;47.8;48.9;48.5;48;47.8;47.5;47.2;46.8
