country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Botswana;;;;;;;;;;;;;;;;;;;11.3;9.2;8;7.4;8.3;7;10.2;7.5;6.4;5.5;7.7;17.9;20.4;20.4;19.2;17.4;17.3;17.2;15.6;13.4;12.1;12.3;12;11.3;10.9;10.1;9.1
Brazil;;;;;;;;;;;;;;;;;;;;;65.6;70.1;78.9;73.9;70.2;68.7;65.9;64.2;62.4;65.5;63.1;61.2;62.2;60.2;62.3;72.6;78.3;84.1;87.9;91.6;93.9;94.5;95.3;95;94.9
Brunei Darussalam;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0.7;0.9;1.1;1.1;2.1;2.1;2.2;3.2;3;3;2.8;2.6;2.8;2.7;2.7;2.6;2.6;2.5
Bulgaria;;;;;;;;;;;;;;;;;;;76.5;79.4;73.9;67.6;53.8;45.8;38.1;28.7;22.8;17.6;14.7;14.6;14.1;14.4;16.7;17.2;26.4;25.6;27.4;23.3;20.4;19.2;18;16.9;16;15.2;14.4
Burkina Faso;;;;;;;;;;;;;;;;;;;;;;;48.7;44.6;45.8;44.1;22.7;25.7;25.9;29.1;31.2;27.6;28.4;29.1;29.9;35.6;39.2;38.4;42.9;42.9;42.6;42.3;42;41.7;41.5
Burundi;;;;;;;;;;;;;;;;;;;;;136.4;127.4;159.1;172;172.7;137;130.3;129.6;102.5;25.7;46.9;42.7;41.4;36.1;35.8;45.3;48.4;51.7;58.4;63.5;69.1;75.2;88.9;104.1;121.9
Cabo Verde;;;;;;;;;;;;;;;;;;89.5;82.2;70;82.6;79.9;82.6;81.4;83.7;85.3;77.7;65;57.6;64.1;72.5;78.5;91.1;102.5;115.9;126.6;128.4;127.2;124.5;123.5;118.9;113;106.4;100.1;94.1
Cambodia;;;;;;;;;;;;;;;;;30.2;31.6;37.2;34.7;35.2;34.9;39.7;43.1;42.7;35.6;30.7;29.4;27;28.5;28.7;29.7;31.5;31.7;31.9;31.2;29.1;30;28.6;29.6;30.1;30.6;31.3;32.6;33.7
Cameroon;;;;;;;;;;;;;;;;;;;73.2;73.9;79.3;65.6;60.4;56.4;55.8;47.7;19.8;14.7;11.7;12;14.7;15.7;15.4;18.2;21.5;32;32.8;37.6;39.1;40.5;40.5;40.2;39.6;38.8;38.1
Canada;44.9;46.4;52.1;57.6;60.6;65.6;69.8;70.3;70.2;71.5;74.3;81.2;88.9;94.7;97.5;100.1;100.2;95.3;93.3;89;80.4;81.5;79.6;75.9;71.9;70.6;69.9;66.9;68;79.4;81.3;81.9;85.5;86.2;85.7;91.3;91.8;90.1;89.9;87.5;85;82.4;79.8;77.1;74.6
